role,skills,avg_salary
Senior Technical Writer,"technical writing, communication, documentation, markdown, product knowledge, leadership, architecture, mentoring",1120000
Junior Sales Engineer,"communication, product knowledge, sales, demos, crm, negotiation, basics, eagerness to learn",467500
Senior Sales Engineer,"communication, product knowledge, sales, demos, crm, negotiation, leadership, architecture, mentoring",1360000
Junior HR Analytics,"excel, sql, python, analytics, communication, dashboards, basics, eagerness to learn",440000
Senior HR Analytics,"excel, sql, python, analytics, communication, dashboards, leadership, architecture, mentoring",1280000
Junior Cloud Architect,"architectural design, aws, azure, gcp, security, cost optimization, basics, eagerness to learn",1100000
Senior Cloud Architect,"architectural design, aws, azure, gcp, security, cost optimization, leadership, architecture, mentoring",3200000
Junior Robotics Engineer,"c++, robotics, control systems, sensors, python, ros, basics, eagerness to learn",715000
Senior Robotics Engineer,"c++, robotics, control systems, sensors, python, ros, leadership, architecture, mentoring",2080000
Junior Game Developer,"unity, unreal engine, c++, c#, game physics, 3d modeling, opengl, gameplay programming, basics, eagerness to learn",605000
Senior Game Developer,"unity, unreal engine, c++, c#, game physics, 3d modeling, opengl, gameplay programming, leadership, architecture, mentoring",1760000
Junior Blockchain Developer,"solidity, ethereum, smart contracts, web3, truffle, hardhat, javascript, cryptography, basics, eagerness to learn",880000
Senior Blockchain Developer,"solidity, ethereum, smart contracts, web3, truffle, hardhat, javascript, cryptography, leadership, architecture, mentoring",2560000
Junior AR/VR Developer,"unity, unreal engine, ar, vr, xr, c#, spatial computing, 3d design, openxr, basics, eagerness to learn",770000
Senior AR/VR Developer,"unity, unreal engine, ar, vr, xr, c#, spatial computing, 3d design, openxr, leadership, architecture, mentoring",2240000
Junior Embedded Systems Engineer,"c, c++, rtos, microcontrollers, firmware, hardware, iot, serial protocols, embedded linux, basics, eagerness to learn",660000
Senior Embedded Systems Engineer,"c, c++, rtos, microcontrollers, firmware, hardware, iot, serial protocols, embedded linux, leadership, architecture, mentoring",1920000
Junior Data Science Manager,"python, machine learning, leadership, team management, stakeholder communication, strategy, data strategy, basics, eagerness to learn",1210000
Senior Data Science Manager,"python, machine learning, leadership, team management, stakeholder communication, strategy, data strategy, leadership, architecture, mentoring",3520000
Junior Technical Program Manager,"project management, agile, scrum, communication, risk management, roadmap, stakeholder management, jira, basics, eagerness to learn",990000
Senior Technical Program Manager,"project management, agile, scrum, communication, risk management, roadmap, stakeholder management, jira, leadership, architecture, mentoring",2880000
Junior Security Engineer,"penetration testing, security, vulnerability assessment, siem, python, linux, cloud security, compliance, basics, eagerness to learn",880000
Senior Security Engineer,"penetration testing, security, vulnerability assessment, siem, python, linux, cloud security, compliance, leadership, architecture, mentoring",2560000
Junior UI/UX Designer,"figma, sketch, user research, wireframing, prototyping, usability testing, design systems, css, basics, eagerness to learn",495000
Senior UI/UX Designer,"figma, sketch, user research, wireframing, prototyping, usability testing, design systems, css, leadership, architecture, mentoring",1440000
Junior Flutter Developer,"flutter, dart, mobile development, android, ios, rest api, firebase, ui design, basics, eagerness to learn",550000
Senior Flutter Developer,"flutter, dart, mobile development, android, ios, rest api, firebase, ui design, leadership, architecture, mentoring",1600000
Junior Django Developer,"python, django, rest api, postgresql, orm, html, css, docker, basics, eagerness to learn",495000
Senior Django Developer,"python, django, rest api, postgresql, orm, html, css, docker, leadership, architecture, mentoring",1440000
Junior MLOps Engineer,"mlops, python, docker, kubernetes, mlflow, kubeflow, ci/cd, model deployment, monitoring, basics, eagerness to learn",825000
Senior MLOps Engineer,"mlops, python, docker, kubernetes, mlflow, kubeflow, ci/cd, model deployment, monitoring, leadership, architecture, mentoring",2400000
